Nomor Perkara;Tanggal Register;Klasifikasi Perkara;Tahun;Sumber
0161/Pdt.G/2012/MS.LGS;02 Jul 2012;Cerai Gugat;2012;ms-langsa
0162/Pdt.G/2012/MS.LGS;02 Jul 2012;Cerai Gugat;2012;ms-langsa
0163/Pdt.G/2012/MS.LGS;02 Jul 2012;Cerai Talak;2012;ms-langsa
0164/Pdt.G/2012/MS.LGS;03 Jul 2012;Wali Adhol;2012;ms-langsa
0165/Pdt.G/2012/MS.LGS;03 Jul 2012;Cerai Gugat;2012;ms-langsa
0013/Pdt.P/2012/MS.LGS;04 Jul 2012;LAIN-LAIN *);2012;ms-langsa
0166/Pdt.G/2012/MS.LGS;04 Jul 2012;Cerai Gugat;2012;ms-langsa
0167/Pdt.G/2012/MS.LGS;05 Jul 2012;Cerai Gugat;2012;ms-langsa
0168/Pdt.G/2012/MS.LGS;05 Jul 2012;Cerai Talak;2012;ms-langsa
0169/Pdt.G/2012/MS.LGS;06 Jul 2012;Cerai Talak;2012;ms-langsa
0170/Pdt.G/2012/MS.LGS;06 Jul 2012;Cerai Gugat;2012;ms-langsa
0014/Pdt.P/2012/MS.LGS;09 Jul 2012;P3HP/Penetapan Ahli Waris;2012;ms-langsa
0171/Pdt.G/2012/MS.LGS;09 Jul 2012;Cerai Gugat;2012;ms-langsa
0172/Pdt.G/2012/MS.LGS;09 Jul 2012;Cerai Talak;2012;ms-langsa
0173/Pdt.G/2012/MS.LGS;10 Jul 2012;Cerai Gugat;2012;ms-langsa
0143/Pdt.G/2012/MS.LGS;11 Jul 2012;Cerai Gugat;2012;ms-langsa
0174/Pdt.G/2012/MS.LGS;11 Jul 2012;Cerai Gugat;2012;ms-langsa
0175/Pdt.G/2012/MS.LGS;11 Jul 2012;Cerai Gugat;2012;ms-langsa
0176/Pdt.G/2012/MS.LGS;12 Jul 2012;Cerai Gugat;2012;ms-langsa
0015/Pdt.P/2012/MS.LGS;16 Jul 2012;P3HP/Penetapan Ahli Waris;2012;ms-langsa
0178/Pdt.G/2012/MS.LGS;17 Jul 2012;Cerai Gugat;2012;ms-langsa
0179/Pdt.G/2012/MS.LGS;19 Jul 2012;Cerai Gugat;2012;ms-langsa
0180/Pdt.G/2012/MS.LGS;23 Jul 2012;Cerai Gugat;2012;ms-langsa
0181/Pdt.G/2012/MS.LGS;23 Jul 2012;Cerai Gugat;2012;ms-langsa
0182/Pdt.G/2012/MS.LGS;25 Jul 2012;Cerai Gugat;2012;ms-langsa
0183/Pdt.G/2012/MS.LGS;26 Jul 2012;Cerai Gugat;2012;ms-langsa
0184/Pdt.G/2012/MS.LGS;26 Jul 2012;Cerai Gugat;2012;ms-langsa
0185/Pdt.G/2012/MS.LGS;27 Jul 2012;Cerai Gugat;2012;ms-langsa
0186/Pdt.G/2012/MS.LGS;27 Jul 2012;Cerai Talak;2012;ms-langsa
0187/Pdt.G/2012/MS.LGS;30 Jul 2012;Cerai Gugat;2012;ms-langsa
0188/Pdt.G/2012/MS.LGS;30 Jul 2012;Cerai Gugat;2012;ms-langsa
0189/Pdt.G/2012/MS.LGS;01 Aug 2012;Cerai Gugat;2012;ms-langsa
0190/Pdt.G/2012/MS.LGS;06 Aug 2012;Cerai Gugat;2012;ms-langsa
0191/Pdt.G/2012/MS.LGS;06 Aug 2012;Cerai Gugat;2012;ms-langsa
0016/Pdt.P/2012/MS.LGS;09 Aug 2012;P3HP/Penetapan Ahli Waris;2012;ms-langsa
0192/Pdt.G/2012/MS.LGS;13 Aug 2012;Cerai Talak;2012;ms-langsa
0017/Pdt.P/2012/MS.LGS;14 Aug 2012;LAIN-LAIN *);2012;ms-langsa
0193/Pdt.G/2012/MS.LGS;27 Aug 2012;Cerai Gugat;2012;ms-langsa
0194/Pdt.G/2012/MS.LGS;28 Aug 2012;Cerai Gugat;2012;ms-langsa
0195/Pdt.G/2012/MS.LGS;28 Aug 2012;Cerai Talak;2012;ms-langsa
0196/Pdt.G/2012/MS.LGS;28 Aug 2012;Cerai Gugat;2012;ms-langsa
0197/Pdt.G/2012/MS.LGS;28 Aug 2012;Cerai Gugat;2012;ms-langsa
0198/Pdt.G/2012/MS.LGS;29 Aug 2012;Cerai Gugat;2012;ms-langsa
0199/Pdt.G/2012/MS.LGS;29 Aug 2012;KEWARISAN;2012;ms-langsa
0200/Pdt.G/2012/MS.LGS;29 Aug 2012;Cerai Gugat;2012;ms-langsa
0201/Pdt.G/2012/MS.LGS;30 Aug 2012;Cerai Talak;2012;ms-langsa
0203/Pdt.G/2012/MS.LGS;31 Aug 2012;Cerai Gugat;2012;ms-langsa
0202/Pdt.G/2012/MS.LGS;03 Sep 2012;Cerai Gugat;2012;ms-langsa
0204/Pdt.G/2012/MS.LGS;03 Sep 2012;Cerai Talak;2012;ms-langsa
0205/Pdt.G/2012/MS.LGS;03 Sep 2012;Cerai Gugat;2012;ms-langsa
0206/Pdt.G/2012/MS.LGS;03 Sep 2012;Cerai Gugat;2012;ms-langsa
0207/Pdt.G/2012/MS.LGS;03 Sep 2012;Cerai Gugat;2012;ms-langsa
0208/Pdt.G/2012/MS.LGS;04 Sep 2012;Cerai Gugat;2012;ms-langsa
0209/Pdt.G/2012/MS.LGS;04 Sep 2012;Cerai Gugat;2012;ms-langsa
0210/Pdt.G/2012/MS.LGS;05 Sep 2012;Cerai Gugat;2012;ms-langsa
0211/Pdt.G/2012/MS.LGS;05 Sep 2012;Cerai Gugat;2012;ms-langsa
0212/Pdt.G/2012/MS.LGS;05 Sep 2012;Cerai Gugat;2012;ms-langsa
0213/Pdt.G/2012/MS.LGS;06 Sep 2012;Cerai Talak;2012;ms-langsa
0018/Pdt.P/2012/MS.LGS;07 Sep 2012;P3HP/Penetapan Ahli Waris;2012;ms-langsa
0214/Pdt.G/2012/MS.LGS;10 Sep 2012;Cerai Talak;2012;ms-langsa
0215/Pdt.G/2012/MS.LGS;11 Sep 2012;Cerai Talak;2012;ms-langsa
0221/Pdt.G/2012/MS.LGS;11 Sep 2012;Cerai Talak;2012;ms-langsa
0216/Pdt.G/2012/MS.LGS;12 Sep 2012;Cerai Talak;2012;ms-langsa
0217/Pdt.G/2012/MS.LGS;13 Sep 2012;Cerai Gugat;2012;ms-langsa
0218/Pdt.G/2012/MS.LGS;13 Sep 2012;Cerai Gugat;2012;ms-langsa
0219/Pdt.G/2012/MS.LGS;14 Sep 2012;Cerai Gugat;2012;ms-langsa
0019/Pdt.P/2012/MS.LGS;17 Sep 2012;P3HP/Penetapan Ahli Waris;2012;ms-langsa
